Nuts Prov;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;SUMA
ES213;Gipuzkoa;;;;;;;;;;;;7;1;1;2;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;7;18;11;7;
ES611;Almería;;;;;;;;;;;;3;0;4;0;
ES612;Cádiz;;;;;;;;;;;;2;3;2;1;
ES613;Córdoba;;;;;;;;;;;;1;2;2;0;
ES614;Granada;;;;;;;;;;;;0;1;2;2;
ES615;Huelva;;;;;;;;;;;;1;2;1;1;
ES616;Jaén;;;;;;;;;;;;2;2;0;1;
ES617;Málaga;;;;;;;;;;;;0;4;0;4;
ES618;Sevilla;;;;;;;;;;;;8;9;7;7;
ES241;Huesca;;;;;;;;;;;;0;2;2;0;
ES242;Teruel;;;;;;;;;;;;0;1;0;2;
ES243;Zaragoza;;;;;;;;;;;;2;0;2;1;
ES120;Asturias;;;;;;;;;;;;0;1;3;1;
ES705;Las Palmas;;;;;;;;;;;;1;2;1;1;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;1;0;0;
ES130;Cantabria;;;;;;;;;;;;1;1;0;2;
ES421;Albacete;;;;;;;;;;;;2;0;1;0;
ES422;Ciudad Real;;;;;;;;;;;;3;1;1;0;
ES423;Cuenca;;;;;;;;;;;;1;0;2;0;
ES424;Guadalajara;;;;;;;;;;;;0;2;0;0;
ES425;Toledo;;;;;;;;;;;;2;0;1;0;
ES411;Ávila;;;;;;;;;;;;1;0;0;0;
ES412;Burgos;;;;;;;;;;;;4;1;3;0;
ES413;León;;;;;;;;;;;;0;0;0;1;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;1;1;0;0;
ES416;Segovia;;;;;;;;;;;;0;0;1;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;0;3;0;0;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;10;21;10;9;
ES512;Girona;;;;;;;;;;;;0;1;2;1;
ES513;Lleida;;;;;;;;;;;;0;0;0;0;
ES514;Tarragona;;;;;;;;;;;;2;0;1;2;
ES521;Alicante;;;;;;;;;;;;7;9;5;2;
ES522;Castellón;;;;;;;;;;;;3;3;4;1;
ES523;Valencia;;;;;;;;;;;;13;6;4;7;
ES431;Badajoz;;;;;;;;;;;;1;0;0;1;
ES432;Cáceres;;;;;;;;;;;;0;0;0;0;
ES111;A Coruña;;;;;;;;;;;;7;3;2;2;
ES112;Lugo;;;;;;;;;;;;1;2;0;0;
ES113;Ourense;;;;;;;;;;;;0;0;1;1;
ES114;Pontevedra;;;;;;;;;;;;4;1;2;0;
ES532;Illes Balears;;;;;;;;;;;;1;1;2;0;
ES230;La Rioja;;;;;;;;;;;;0;0;0;1;
ES300;Madrid;;;;;;;;;;;;28;30;33;26;
ES620;Murcia;;;;;;;;;;;;2;2;8;4;
ES220;Navarra;;;;;;;;;;;;5;5;5;2;
ES211;Araba/Álava;;;;;;;;;;;;1;1;1;0;
ES212;Bizkaia;;;;;;;;;;;;2;3;0;1;
ES213;Gipuzkoa;;;;;;;;;;;;3;7;0;0;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;16;20;8;10;
ES611;Almería;;;;;;;;;;;;1;1;0;1;
ES612;Cádiz;;;;;;;;;;;;2;3;0;4;
ES613;Córdoba;;;;;;;;;;;;0;1;1;0;
ES614;Granada;;;;;;;;;;;;1;2;1;1;
ES615;Huelva;;;;;;;;;;;;1;0;0;1;
ES616;Jaén;;;;;;;;;;;;3;0;0;1;
ES617;Málaga;;;;;;;;;;;;2;5;6;0;
ES618;Sevilla;;;;;;;;;;;;3;6;3;6;
ES241;Huesca;;;;;;;;;;;;2;0;0;0;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;2;4;0;1;
ES120;Asturias;;;;;;;;;;;;3;1;0;0;
ES705;Las Palmas;;;;;;;;;;;;1;0;0;3;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;1;0;2;
ES130;Cantabria;;;;;;;;;;;;0;1;0;4;
ES421;Albacete;;;;;;;;;;;;1;0;0;0;
ES422;Ciudad Real;;;;;;;;;;;;2;0;1;0;
ES423;Cuenca;;;;;;;;;;;;0;1;0;0;
ES424;Guadalajara;;;;;;;;;;;;0;1;0;1;
ES425;Toledo;;;;;;;;;;;;0;0;1;1;
ES411;Ávila;;;;;;;;;;;;1;0;0;0;
ES412;Burgos;;;;;;;;;;;;7;7;1;0;
ES413;León;;;;;;;;;;;;0;0;2;1;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;2;0;0;1;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;1;0;1;4;
ES419;Zamora;;;;;;;;;;;;0;0;0;1;
ES511;Barcelona;;;;;;;;;;;;9;7;6;16;
ES512;Girona;;;;;;;;;;;;1;1;0;1;
ES513;Lleida;;;;;;;;;;;;0;0;0;0;
ES514;Tarragona;;;;;;;;;;;;0;2;0;2;
ES521;Alicante;;;;;;;;;;;;3;2;4;4;
ES522;Castellón;;;;;;;;;;;;3;4;1;0;
ES523;Valencia;;;;;;;;;;;;12;10;8;8;
ES431;Badajoz;;;;;;;;;;;;2;1;1;0;
ES432;Cáceres;;;;;;;;;;;;0;0;0;0;
ES111;A Coruña;;;;;;;;;;;;1;1;1;3;
ES112;Lugo;;;;;;;;;;;;0;0;0;0;
ES113;Ourense;;;;;;;;;;;;1;0;0;0;
ES114;Pontevedra;;;;;;;;;;;;1;4;2;2;
ES532;Illes Balears;;;;;;;;;;;;1;0;1;0;
ES230;La Rioja;;;;;;;;;;;;1;1;0;0;
ES300;Madrid;;;;;;;;;;;;18;25;13;26;
ES620;Murcia;;;;;;;;;;;;3;2;3;3;
ES220;Navarra;;;;;;;;;;;;3;2;2;3;
ES211;Araba/Álava;;;;;;;;;;;;0;0;1;0;
ES212;Bizkaia;;;;;;;;;;;;0;1;3;5;
ES213;Gipuzkoa;;;;;;;;;;;;1;2;7;0;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;9;16;12;19;
ES611;Almería;;;;;;;;;;;;0;0;3;2;
ES612;Cádiz;;;;;;;;;;;;2;2;1;2;
ES613;Córdoba;;;;;;;;;;;;0;3;0;2;
ES614;Granada;;;;;;;;;;;;5;5;1;1;
ES615;Huelva;;;;;;;;;;;;0;0;1;0;
ES616;Jaén;;;;;;;;;;;;1;0;2;2;
ES617;Málaga;;;;;;;;;;;;3;0;0;4;
ES618;Sevilla;;;;;;;;;;;;3;2;10;5;
ES241;Huesca;;;;;;;;;;;;1;1;0;1;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;1;1;0;3;
ES120;Asturias;;;;;;;;;;;;0;3;3;2;
ES705;Las Palmas;;;;;;;;;;;;0;1;1;0;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;1;1;0;
ES130;Cantabria;;;;;;;;;;;;0;0;0;1;
ES421;Albacete;;;;;;;;;;;;3;0;0;2;
ES422;Ciudad Real;;;;;;;;;;;;1;0;1;1;
ES423;Cuenca;;;;;;;;;;;;0;1;0;0;
ES424;Guadalajara;;;;;;;;;;;;0;0;0;0;
ES425;Toledo;;;;;;;;;;;;1;0;2;0;
ES411;Ávila;;;;;;;;;;;;0;0;0;0;
ES412;Burgos;;;;;;;;;;;;4;0;5;1;
ES413;León;;;;;;;;;;;;2;0;0;0;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;0;0;0;1;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;0;0;3;0;
ES419;Zamora;;;;;;;;;;;;1;0;1;0;
